name,description,source,requiredDataConnectors,query,supported
Failed attempt to access Azure Portal,"'Access attempts to Azure Portal from an unauthorized user.  Either invalid password or the user account does not exist.'
",SigninLogs,"{
    ""connectorId"":  ""AzureActiveDirectory"",
    ""dataTypes"":  [
                      ""SigninLogs""
                  ]
}","
let timeRange=ago(7d);
SigninLogs
| where TimeGenerated >= timeRange
| where AppDisplayName contains ""Azure Portal""
// 50126 - Invalid username or password, or invalid on-premises username or password.
// 50020? - The user doesn't exist in the tenant.
| where ResultType in ( ""50126"" , ""50020"")
| extend OS = DeviceDetail.operatingSystem, Browser = DeviceDetail.browser
| extend StatusCode = tostring(Status.errorCode), StatusDetails = tostring(Status.additionalDetails)
| extend State = tostring(LocationDetails.state), City = tostring(LocationDetails.city)
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), IPAddresses = makeset(IPAddress), DistinctIPCount = dcount(IPAddress), 
makeset(OS), makeset(Browser), makeset(City), AttemptCount = count() 
by UserDisplayName, UserPrincipalName, AppDisplayName, ResultType, ResultDescription, StatusCode, StatusDetails, Location, State
| extend timestamp = StartTimeUtc, AccountCustomEntity = UserPrincipalName
| sort by AttemptCount
",yes
Failed Logon Attempts on SQL Server,"This query is based on the SQLEvent KQL Parser function (link below) and detects failed logons on SQL Server 
SQLEvent KQL Parser provided at https://github.com/Azure/Azure-Sentinel/tree/master/Parsers/SQLSever
Detailed blog post on Monitoring SQL Server with Azure Sentinel https://techcommunity.microsoft.com/t5/azure-sentinel/monitoring-sql-server-with-azure-sentinel/ba-p/1502960
",SQLServer,"{
    ""connectorId"":  ""AzureMonitor(WindowsEventLogs)"",
    ""dataTypes"":  [
                      ""Event""
                  ]
}","
// SQLEvent is not the table name, it is the function name that should already be imported into your workspace.
// The underlying table where the data exists is the Event table.
SQLEvent
| where TimeGenerated >= ago(1d)
| where LogonResult has ""failed""
| summarize count() by TimeGenerated, CurrentUser, Reason, ClientIP
| extend timestamp = TimeGenerated, AccountCustomEntity = CurrentUser, IPCustomEntity = ClientIP
",no
Failed Logon on SQL Server from Same IPAddress in Short time Span,"This hunitng query identifies multiple failed logon attempts from same IP within short span of time.
This query is based on the SQLEvent KQL Parser function (link below)
SQLEvent KQL Parser provided at https://github.com/Azure/Azure-Sentinel/tree/master/Parsers/SQLSever
Detailed blog post on Monitoring SQL Server with Azure Sentinel https://techcommunity.microsoft.com/t5/azure-sentinel/monitoring-sql-server-with-azure-sentinel/ba-p/1502960
",SQLServer,"{
    ""connectorId"":  ""AzureMonitor(WindowsEventLogs)"",
    ""dataTypes"":  [
                      ""Event""
                  ]
}","
// SQLEvent is not the table name, it is the function name that should already be imported into your workspace.
// The underlying table where the data exists is the Event table.
// the timeframe and threshold can be changed below as per requirement.
//
let TimeFrame = 1d;
let failedThreshold = 3;
SQLEvent
| where TimeGenerated >= ago(TimeFrame) 
| where LogonResult has ""failed""
| summarize StartTime = min(TimeGenerated), EndTime = max(TimeGenerated), TotalFailedLogons = count() by ClientIP, CurrentUser, Computer
| where TotalFailedLogons >= failedThreshold
| project StartTime, ClientIP, TotalFailedLogons, CurrentUser, Computer
| extend timestamp = StartTime, AccountCustomEntity = CurrentUser, IPCustomEntity = ClientIP
",no
Multiple Failed Logon on SQL Server in Short time Span,"This hunting queries looks for multiple failed logon attempts in short span of time.
This query is based on the SQLEvent KQL Parser function (link below)
SQLEvent KQL Parser provided at https://github.com/Azure/Azure-Sentinel/tree/master/Parsers/SQLSever
Detailed blog post on Monitoring SQL Server with Azure Sentinel https://techcommunity.microsoft.com/t5/azure-sentinel/monitoring-sql-server-with-azure-sentinel/ba-p/1502960
",SQLServer,"{
    ""connectorId"":  ""AzureMonitor(WindowsEventLogs)"",
    ""dataTypes"":  [
                      ""Event""
                  ]
}","
// SQLEvent is not the table name, it is the function name that should already be imported into your workspace.
// The underlying table where the data exists is the Event table.
// the timeframe and threshold can be changed below as per requirement
//
let TimeFrame = 1d;
let failedThreshold = 3;
SQLEvent
| where TimeGenerated >= ago(TimeFrame) 
| where LogonResult has ""failed""
| summarize StartTime = min(TimeGenerated), EndTime = max(TimeGenerated), TotalFailedLogons = count() by CurrentUser, ClientIP
| where TotalFailedLogons >= failedThreshold
| project StartTime, CurrentUser, TotalFailedLogons, ClientIP
| extend timestamp = StartTime, AccountCustomEntity = CurrentUser, IPCustomEntity = ClientIP
",no
New User created on SQL Server,"This hunting query identifies creation of a new user from SQL Server
This query is based on the SQLEvent KQL Parser function (link below) 
SQLEvent KQL Parser provided at https://github.com/Azure/Azure-Sentinel/tree/master/Parsers/SQLSever
Detailed blog post on Monitoring SQL Server with Azure Sentinel https://techcommunity.microsoft.com/t5/azure-sentinel/monitoring-sql-server-with-azure-sentinel/ba-p/1502960
",SQLServer,"{
    ""connectorId"":  ""AzureMonitor(WindowsEventLogs)"",
    ""dataTypes"":  [
                      ""Event""
                  ]
}","
// SQLEvent is not the table name, it is the function name that should already be imported into your workspace.
// The underlying table where the data exists is the Event table.
// This query checks for new user account created on SQL Server using the SQLEvent() parser
//
SQLEvent
| where TimeGenerated >= ago(1d)
| where Statement has ""Create Login""
| parse Statement with ""CREATE LOGIN ["" TargetUser:string ""]"" *
| project TimeGenerated, Computer, Action, ClientIP, CurrentUser, DatabaseName, TargetUser, ObjectName, Statement
| extend timestamp = TimeGenerated, AccountCustomEntity = CurrentUser, IPCustomEntity = ClientIP 
",no
User added to SQL Server SecurityAdmin Group,"This hunting query identifies user added in the SecurityAdmin group of SQL Server
This query is based on the SQLEvent KQL Parser function (link below)
SQLEvent KQL Parser provided at https://github.com/Azure/Azure-Sentinel/tree/master/Parsers/SQLSever
Detailed blog post on Monitoring SQL Server with Azure Sentinel https://techcommunity.microsoft.com/t5/azure-sentinel/monitoring-sql-server-with-azure-sentinel/ba-p/1502960
",SQLServer,"{
    ""connectorId"":  ""AzureMonitor(WindowsEventLogs)"",
    ""dataTypes"":  [
                      ""Event""
                  ]
}","
// SQLEvent is not the table name, it is the function name that should already be imported into your workspace.
// The underlying table where the data exists is the Event table.
// This query tracks user added into SecurityAdmingroup
SQLEvent
| where TimeGenerated >= ago(1d)
| where Statement has ""Alter Server role"" and Statement has ""add member""
| parse Statement with * ""ADD MEMBER ["" TargetUser:string ""]"" *
| where ObjectName has ""securityadmin""
| project TimeGenerated, Computer, Action, ClientIP, CurrentUser, DatabaseName, TargetUser, ObjectName, Statement 
| extend timestamp = TimeGenerated, AccountCustomEntity = CurrentUser, IPCustomEntity = ClientIP 
",no
SQL User deleted from Database,"This hunting query identifies deletion of user from SQL Database
This query is based on the SQLEvent KQL Parser function (link below)
SQLEvent KQL Parser provided at https://github.com/Azure/Azure-Sentinel/tree/master/Parsers/SQLSever
Detailed blog post on Monitoring SQL Server with Azure Sentinel https://techcommunity.microsoft.com/t5/azure-sentinel/monitoring-sql-server-with-azure-sentinel/ba-p/1502960
",SQLServer,"{
    ""connectorId"":  ""AzureMonitor(WindowsEventLogs)"",
    ""dataTypes"":  [
                      ""Event""
                  ]
}","
// SQLEvent is not the table name, it is the function name that should already be imported into your workspace.
// The underlying table where the data exists is the Event table.
// This query checks for user removed from a database by parsing the statement field at the query time.
//
SQLEvent
| where TimeGenerated >= ago(1d)
| where Statement has ""Alter role"" and Statement has ""drop member""
| parse Statement with * ""DROP MEMBER ["" TargetUser:string ""]"" *
| project TimeGenerated, Computer, Action, ClientIP, CurrentUser, DatabaseName, TargetUser, ObjectName, Statement
| extend timestamp = TimeGenerated, AccountCustomEntity = CurrentUser, IPCustomEntity = ClientIP  
",no
User removed from SQL Server SecurityAdmin Group,"This hunting query identifies user removed from the SecurityAdmin group of SQL Server
This query is based on the SQLEvent KQL Parser function (link below) 
SQLEvent KQL Parser provided at https://github.com/Azure/Azure-Sentinel/tree/master/Parsers/SQLSever
Detailed blog post on Monitoring SQL Server with Azure Sentinel https://techcommunity.microsoft.com/t5/azure-sentinel/monitoring-sql-server-with-azure-sentinel/ba-p/1502960
",SQLServer,"{
    ""connectorId"":  ""AzureMonitor(WindowsEventLogs)"",
    ""dataTypes"":  [
                      ""Event""
                  ]
}","
// SQLEvent is not the table name, it is the function name that should already be imported into your workspace.
// The underlying table where the data exists is the Event table.
// This query checks for user removed from SecurityAdmin Role
SQLEvent
| where TimeGenerated >= ago(1d)
| where Statement has ""Alter Server role"" and Statement has ""drop member""
| parse Statement with * ""DROP MEMBER ["" TargetUser:string ""]"" *
| where ObjectName has ""securityadmin""
| project TimeGenerated, Computer, Action, ClientIP, CurrentUser, DatabaseName, TargetUser, ObjectName, Statement 
| extend timestamp = TimeGenerated, AccountCustomEntity = CurrentUser, IPCustomEntity = ClientIP  
",no
User removed from SQL Server Roles,"This hunting query identifies user removed from a SQL Server Role.
This query is based on the SQLEvent KQL Parser function (link below) 
SQLEvent KQL Parser provided at https://github.com/Azure/Azure-Sentinel/tree/master/Parsers/SQLSever
Detailed blog post on Monitoring SQL Server with Azure Sentinel https://techcommunity.microsoft.com/t5/azure-sentinel/monitoring-sql-server-with-azure-sentinel/ba-p/1502960
",SQLServer,"{
    ""connectorId"":  ""AzureMonitor(WindowsEventLogs)"",
    ""dataTypes"":  [
                      ""Event""
                  ]
}","
// SQLEvent is not the table name, it is the function name that should already be imported into your workspace.
// The underlying table where the data exists is the Event table.
// This query checks for user removed from a ServerRole
SQLEvent
| where TimeGenerated >= ago(1d)
| where Statement has ""Alter Server role"" and Statement has ""drop member""
| parse Statement with * ""DROP MEMBER ["" TargetUser:string ""]"" *
| project TimeGenerated, Computer, Action, ClientIP, CurrentUser, DatabaseName, TargetUser, ObjectName, Statement 
| extend timestamp = TimeGenerated, AccountCustomEntity = CurrentUser, IPCustomEntity = ClientIP  
",no
User Role altered on SQL Server,"This hunting query identifies user role altered on SQL Server
This query is based on the SQLEvent KQL Parser function (link below) 
SQLEvent KQL Parser provided at https://github.com/Azure/Azure-Sentinel/tree/master/Parsers/SQLSever
Detailed blog post on Monitoring SQL Server with Azure Sentinel https://techcommunity.microsoft.com/t5/azure-sentinel/monitoring-sql-server-with-azure-sentinel/ba-p/1502960
",SQLServer,"{
    ""connectorId"":  ""AzureMonitor(WindowsEventLogs)"",
    ""dataTypes"":  [
                      ""Event""
                  ]
}","
// SQLEvent is not the table name, it is the function name that should already be imported into your workspace.
// The underlying table where the data exists is the Event table.
// This query looking for Alter role commands and extracts username which was altered and target objectName
SQLEvent
| where TimeGenerated >= ago(1d)
| where Statement contains ""Alter role"" and Statement has ""add member""
| parse Statement with * ""ADD MEMBER ["" TargetUser:string ""]"" *
| project TimeGenerated, Computer, Action, ClientIP, CurrentUser, DatabaseName, TargetUser, ObjectName, Statement
| extend timestamp = TimeGenerated, AccountCustomEntity = CurrentUser, IPCustomEntity = ClientIP  
",no
Crypto currency miners EXECVE,"'This query hunts through EXECVE syslog data generated by AUOMS to find instances of crypto currency miners being
downloaded.  It returns a table of suspicious command lines.
Find more details on collecting EXECVE data into Azure Sentinel - https://techcommunity.microsoft.com/t5/azure-sentinel/hunting-threats-on-linux-with-azure-sentinel/ba-p/1344431'
",Syslog,"{
    ""connectorId"":  ""Syslog"",
    ""dataTypes"":  [
                      ""Syslog""
                  ]
}","// Extract EventType and EventData from AUOMS Syslog message
Syslog
| parse SyslogMessage with ""type="" EventType "" audit("" * ""): "" EventData
| project TimeGenerated, EventType, Computer, EventData 
// Extract AUOMS_EXECVE details from EventData
| where EventType =~ ""AUOMS_EXECVE""
| parse EventData with * ""syscall="" syscall "" syscall_r="" * "" success="" success "" exit="" exit "" a0"" * "" ppid="" ppid "" pid="" pid "" audit_user="" audit_user "" auid="" auid "" user="" user "" uid="" uid "" group="" group "" gid="" gid ""effective_user="" effective_user "" euid="" euid "" set_user="" set_user "" suid="" suid "" filesystem_user="" filesystem_user "" fsuid="" fsuid "" effective_group="" effective_group "" egid="" egid "" set_group="" set_group "" sgid="" sgid "" filesystem_group="" filesystem_group "" fsgid="" fsgid "" tty="" tty "" ses="" ses "" comm=\"""" comm ""\"" exe=\"""" exe ""\"""" * ""cwd=\"""" cwd ""\"""" * ""name=\"""" name ""\"""" * ""cmdline=\"""" cmdline ""\"" containerid="" containerid
// Find wget and curl commands
| where comm in (""wget"", ""curl"")
// Find command lines featuring known crypto currency miner names
| where cmdline contains ""nicehashminer"" or cmdline contains ""ethminer"" or cmdline contains ""equihash"" or cmdline contains ""NsCpuCNMiner64"" or cmdline contains ""minergate"" or cmdline contains ""minerd"" or cmdline contains ""cpuminer"" or cmdline contains ""xmr-stak-cpu"" or cmdline contains ""xmrig"" or cmdline contains ""stratum+tcp"" or cmdline contains ""cryptonight"" or cmdline contains ""monero"" or cmdline contains ""oceanhole"" or cmdline contains ""dockerminer"" or cmdline contains ""xmrdemo""
| project TimeGenerated, Computer, audit_user, user, cmdline
| extend AccountCustomEntity = user, HostCustomEntity = Computer, timestamp = TimeGenerated
| sort by TimeGenerated desc
",yes
Disabled accounts using Squid proxy,"'Look for accounts that have a been recorded as disabled by AD in the previous week but are still using the proxy during 
the current week. This query presumes the default squid log format is being used. http://www.squid-cache.org/Doc/config/access_log/'
",Syslog,"{
    ""connectorId"":  ""Syslog"",
    ""dataTypes"":  [
                      ""Syslog""
                  ]
}","
let starttime = 14d;
let endtime = 7d;
let disabledAccounts = (){
SigninLogs 
| where TimeGenerated between(ago(starttime) .. ago(endtime))
| where ResultType == 50057
| where ResultDescription =~ ""User account is disabled. The account has been disabled by an administrator."" 
};
let proxyEvents = (){
Syslog
| where TimeGenerated > ago(endtime)
| where ProcessName contains ""squid""
| extend URL = extract(""(([A-Z]+ [a-z]{4,5}:\\/\\/)|[A-Z]+ )([^ :]*)"",3,SyslogMessage), 
         SourceIP = extract(""([0-9]+ )(([0-9]{1,3})\\.([0-9]{1,3})\\.([0-9]{1,3})\\.([0-9]{1,3}))"",2,SyslogMessage), 
         Status = extract(""(TCP_(([A-Z]+)(_[A-Z]+)*)|UDP_(([A-Z]+)(_[A-Z]+)*))"",1,SyslogMessage), 
         HTTP_Status_Code = extract(""(TCP_(([A-Z]+)(_[A-Z]+)*)|UDP_(([A-Z]+)(_[A-Z]+)*))/([0-9]{3})"",8,SyslogMessage),
         User = extract(""(CONNECT |GET )([^ ]* )([^ ]+)"",3,SyslogMessage),
         RemotePort = extract(""(CONNECT |GET )([^ ]*)(:)([0-9]*)"",4,SyslogMessage),
         Domain = extract(""(([A-Z]+ [a-z]{4,5}:\\/\\/)|[A-Z]+ )([^ :\\/]*)"",3,SyslogMessage),
         Bytes = toint(extract(""([A-Z]+\\/[0-9]{3} )([0-9]+)"",2,SyslogMessage)),
         contentType = extract(""([a-z/]+$)"",1,SyslogMessage)
| extend TLD = extract(""\\.[a-z]*$"",0,Domain)
};
proxyEvents 
| where Status !contains 'DENIED'
| join kind=inner disabledAccounts on $left.User == $right.UserPrincipalName
| extend timestamp = TimeGenerated, AccountCustomEntity = UserPrincipalName, URLCustomEntity = URL
",yes
Rare process running on a Linux host,"'Looks for rare processes that are running on Linux hosts. Looks for process seen less than 14 times in last 7 days, 
 or observed rate is less than 1% of of the average for the environment and fewer than 100.'
",Syslog,"{
    ""connectorId"":  ""Syslog"",
    ""dataTypes"":  [
                      ""Syslog""
                  ]
}","let starttime = 7d;
let endtime = 1m;
let lookback = 30d;
let count_threshold = 100;
let perc_threshold = 0.01;
let host_threshold = 14;
let basic=materialize(
  Syslog
    | where TimeGenerated >= ago(lookback)
    | summarize FullCount = count()
                , Count= countif(TimeGenerated between (ago(starttime) .. ago(endtime)))
                , min_TimeGenerated=min(TimeGenerated)
                , max_TimeGenerated=max(TimeGenerated) 
                      by Computer, ProcessName
    | where Count > 0 and Count < count_threshold);
let basic_avg = basic
    | summarize Avg = avg(FullCount) by  ProcessName;
basic | project-away FullCount
  | join kind=inner 
basic_avg 
  on ProcessName | project-away ProcessName1
  | where Count < host_threshold or (Count <= Avg*perc_threshold and Count < count_threshold) 
  | extend HostCustomEntity=Computer
",yes
Linux scheduled task Aggregation,"'This query aggregates information about all of the scheduled tasks (Cron jobs) and presents the data in a chart.
The aggregation is done based on unique user-commandline pairs. It returns how many times a command line has
been run from a particular user, how many computers that pair has run on, and what percentage that is of the
total number of computers in the tenant.'
",Syslog,"{
    ""connectorId"":  ""Syslog"",
    ""dataTypes"":  [
                      ""Syslog""
                  ]
}","
// Change startdate below if you want a different timespan
let startdate = 7d;
// Pull messages from Syslog-cron where the process name is ""CRON"" or ""CROND"", the severity level is info, and the SyslogMessage contains ""CMD"".
// It also parses out the user and commandline from the message.
let RawCommands = Syslog 
| where TimeGenerated >= ago(startdate)
| where Facility =~ ""cron"" 
| where SeverityLevel =~ ""info"" 
| where ProcessName =~ ""CRON"" or ProcessName =~ ""CROND""  
| where SyslogMessage contains ""CMD "" 
| project TenantId, TimeGenerated, Computer, SeverityLevel, ProcessName, SyslogMessage
| extend TrimmedSyslogMsg = trim_end(@""\)"", SyslogMessage)
| parse TrimmedSyslogMsg with * ""("" user  "") CMD ("" cmdline 
| project TenantId, TimeGenerated, Computer, user, cmdline; 
// Count how many times a particular commandline has been seen based on unique Computer, User, and cmdline sets
let CommandCount = RawCommands
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), count(cmdline) by Computer, user, cmdline
| project StartTimeUtc, EndTimeUtc, Computer, user, cmdline, CmdlineCount = count_cmdline ; 
// Count how many computers have run a particular user and cmdline pair
let DistComputerCount = RawCommands
| summarize dcount(Computer) by TenantId, user, cmdline
| project TenantId, user, cmdline, ComputerCount = dcount_Computer ; 
// Join above counts based on user and commandline pair
let CommandSummary = CommandCount | join (DistComputerCount) on user, cmdline
| project StartTimeUtc, EndTimeUtc, TenantId, user, CmdlineCount, ComputerCount, cmdline ;
// Count the total number of computers reporting cron messages in the tenant
let TotalComputers = Syslog
| where Facility =~ ""cron""
| summarize dcount(Computer) by TenantId ;
// Join the previous counts with the total computers count. Calculate the percentage of total computers value.
let FinalSummary = CommandSummary | join kind= leftouter (TotalComputers) on TenantId
| project StartTimeUtc, EndTimeUtc, user, TimesCmdlineSeen = CmdlineCount, CompsThatHaveRunCmdline = ComputerCount, 
AsPercentOfTotalComps = round(100 * (toreal(ComputerCount)/toreal(dcount_Computer)),2), cmdline
| order by user asc, TimesCmdlineSeen desc;
FinalSummary 
| extend timestamp = StartTimeUtc, AccountCustomEntity = user
",yes
Editing Linux scheduled tasks through Crontab,"'This query shows when users have edited or replaced the scheduled tasks using crontab. The events are bucketed into 10 minute intervals 
and all the actions that a particular used took are collected into the List of Actions. Default query is for seven days.'
",Syslog,"{
    ""connectorId"":  ""Syslog"",
    ""dataTypes"":  [
                      ""Syslog""
                  ]
}","
// Change startdate below if you want a different timespan
let startdate = 14d;
// Pull messages from Syslog-cron logs where the process is crontab and the severity level is ""info"". Extract the User and Action information from the SyslogMessage
Syslog 
| where TimeGenerated  >= ago(startdate)
| where Facility =~ ""cron"" 
| where ProcessName =~ ""crontab"" 
| where SeverityLevel =~ ""info"" 
| project TimeGenerated, Computer, SeverityLevel, ProcessName, SyslogMessage
| parse SyslogMessage with * ""("" user  "") "" Action "" ("" *
// Only look for messages that contain edit or replace
| where Action contains ""EDIT"" or Action contains ""REPLACE""
//| summarize all the actions into a single set based on 10 minute time intervals
| summarize makeset(Action) by bin(TimeGenerated, 10m), Computer, user  
| project EventTime10MinInterval = TimeGenerated, Computer, user, ListOfActions = set_Action 
| order by Computer asc nulls last, EventTime10MinInterval asc
| extend timestamp = EventTime10MinInterval, AccountCustomEntity = user, HostCustomEntity = Computer
",yes
Squid commonly abused TLDs,"'Some top level domains (TLDs) are more commonly associated with malware for a range of reasons - including how easy domains on these TLDs are to obtain. 
Many of these may be undesirable from an enterprise policy perspective. The clientCount column provides an initial insight into how widespread the domain 
usage is across the estate. This query presumes the default squid log format is being used. http://www.squid-cache.org/Doc/config/access_log/'
",Syslog,"{
    ""connectorId"":  ""Syslog"",
    ""dataTypes"":  [
                      ""Syslog""
                  ]
}","
let suspicious_tlds = dynamic([ "".click"", "".club"", "".download"",  "".xxx"", "".xyz""]);
let timeframe = 14d;
Syslog
| where TimeGenerated >= ago(timeframe) 
| where ProcessName contains ""squid""
| extend URL = extract(""(([A-Z]+ [a-z]{4,5}:\\/\\/)|[A-Z]+ )([^ :]*)"",3,SyslogMessage), 
         SourceIP = extract(""([0-9]+ )(([0-9]{1,3})\\.([0-9]{1,3})\\.([0-9]{1,3})\\.([0-9]{1,3}))"",2,SyslogMessage), 
         Status = extract(""(TCP_(([A-Z]+)(_[A-Z]+)*)|UDP_(([A-Z]+)(_[A-Z]+)*))"",1,SyslogMessage), 
         HTTP_Status_Code = extract(""(TCP_(([A-Z]+)(_[A-Z]+)*)|UDP_(([A-Z]+)(_[A-Z]+)*))/([0-9]{3})"",8,SyslogMessage),
         User = extract(""(CONNECT |GET )([^ ]* )([^ ]+)"",3,SyslogMessage),
         RemotePort = extract(""(CONNECT |GET )([^ ]*)(:)([0-9]*)"",4,SyslogMessage),
         Domain = extract(""(([A-Z]+ [a-z]{4,5}:\\/\\/)|[A-Z]+ )([^ :\\/]*)"",3,SyslogMessage)
| extend TLD = extract(""\\.[a-z]*$"",0,Domain)
| where TLD in (suspicious_tlds)
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), clientCount = dcount(SourceIP) by TLD, User, URL
| order by TLD asc, clientCount desc
| extend timestamp = StartTimeUtc, AccountCustomEntity = User, URLCustomEntity = URL
",yes
Squid malformed requests,"'Malformed web requests are sometimes used for reconnaissance to detect the presence of network security devices.
Hunting for a large number of requests from a single source may assist in locating compromised hosts. Note: internal sites may
be detected by this query and may need excluding on a individual basis. This query presumes the default squid log format is
being used.'
",Syslog,"{
    ""connectorId"":  ""Syslog"",
    ""dataTypes"":  [
                      ""Syslog""
                  ]
}","
let timeframe = 14d;
Syslog
| where TimeGenerated >= ago(timeframe) 
| where ProcessName contains ""squid""
| extend URL = extract(""(([A-Z]+ [a-z]{4,5}:\\/\\/)|[A-Z]+ )([^ :]*)"",3,SyslogMessage), 
         SourceIP = extract(""([0-9]+ )(([0-9]{1,3})\\.([0-9]{1,3})\\.([0-9]{1,3})\\.([0-9]{1,3}))"",2,SyslogMessage), 
         Status = extract(""(TCP_(([A-Z]+)(_[A-Z]+)*)|UDP_(([A-Z]+)(_[A-Z]+)*))"",1,SyslogMessage), 
         HTTP_Status_Code = extract(""(TCP_(([A-Z]+)(_[A-Z]+)*)|UDP_(([A-Z]+)(_[A-Z]+)*))/([0-9]{3})"",8,SyslogMessage),
         User = extract(""(CONNECT |GET )([^ ]* )([^ ]+)"",3,SyslogMessage),
         RemotePort = extract(""(CONNECT |GET )([^ ]*)(:)([0-9]*)"",4,SyslogMessage),
         Domain = extract(""(([A-Z]+ [a-z]{4,5}:\\/\\/)|[A-Z]+ )([^ :\\/]*)"",3,SyslogMessage),
         Bytes = toint(extract(""([A-Z]+\\/[0-9]{3} )([0-9]+)"",2,SyslogMessage)),
         contentType = extract(""([a-z/]+$)"",1,SyslogMessage)
| extend TLD = extract(""\\.[a-z]*$"",0,Domain)
| where Domain !contains '.' and isnotempty(Domain)
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), badRequestCount = count() by Domain, SourceIP, User, URL
| order by badRequestCount desc
| extend timestamp = StartTimeUtc, AccountCustomEntity = User, IPCustomEntity = SourceIP, URLCustomEntity = URL
",yes
Squid data volume timeseries anomalies,"'Malware infections or data exfiltration activity often leads to anomalies in network data volume
this hunting query looks for anomalies in the volume of bytes traversing a squid proxy. Anomalies require further 
investigation to determine cause. This query presumes the default squid log format is being used.'
",Syslog,"{
    ""connectorId"":  ""Syslog"",
    ""dataTypes"":  [
                      ""Syslog""
                  ]
}","
let starttime = 14d;
let endtime = 1d;
let timeframe = 1h;
let TimeSeriesData = 
Syslog
| where TimeGenerated between (startofday(ago(starttime))..startofday(ago(endtime)))
| where ProcessName contains ""squid""
| extend URL = extract(""(([A-Z]+ [a-z]{4,5}:\\/\\/)|[A-Z]+ )([^ :]*)"",3,SyslogMessage), 
         SourceIP = extract(""([0-9]+ )(([0-9]{1,3})\\.([0-9]{1,3})\\.([0-9]{1,3})\\.([0-9]{1,3}))"",2,SyslogMessage), 
         Status = extract(""(TCP_(([A-Z]+)(_[A-Z]+)*)|UDP_(([A-Z]+)(_[A-Z]+)*))"",1,SyslogMessage), 
         HTTP_Status_Code = extract(""(TCP_(([A-Z]+)(_[A-Z]+)*)|UDP_(([A-Z]+)(_[A-Z]+)*))/([0-9]{3})"",8,SyslogMessage),
         User = extract(""(CONNECT |GET )([^ ]* )([^ ]+)"",3,SyslogMessage),
         RemotePort = extract(""(CONNECT |GET )([^ ]*)(:)([0-9]*)"",4,SyslogMessage),
         Domain = extract(""(([A-Z]+ [a-z]{4,5}:\\/\\/)|[A-Z]+ )([^ :\\/]*)"",3,SyslogMessage),
         Bytes = toint(extract(""([A-Z]+\\/[0-9]{3} )([0-9]+)"",2,SyslogMessage)),
         contentType = extract(""([a-z/]+$)"",1,SyslogMessage)
| extend TLD = extract(""\\.[a-z]*$"",0,Domain)
| where isnotempty(Bytes)
| make-series TotalBytesSent=sum(Bytes) on TimeGenerated from startofday(ago(starttime)) to startofday(ago(endtime)) step timeframe by ProcessName;
TimeSeriesData
| extend (anomalies, score, baseline) = series_decompose_anomalies(TotalBytesSent,3, -1, 'linefit')
| extend timestamp = TimeGenerated
| render timechart with (title=""Squid Time Series anomalies"")
",yes
External user added and removed in short timeframe,"'This hunting query identifies external user accounts that are added to a Team and then removed within
one hour.
This query requires you to have Teams data collected from the O365 Management Activity API
and the Teams parser function enabled.
More details: https://techcommunity.microsoft.com/t5/azure-sentinel/protecting-your-teams-with-azure-sentinel/ba-p/1265761'
",TeamsLogs,"{
    ""connectorid"":  ""TeamsLogs"",
    ""datatypes"":  [
                      ""TeamsLogs""
                  ]
}","
// If you want to look at user added further than 7 days ago adjust this value
let time_ago = 7d;
// If you want to change the timeframe of how quickly accounts need to be added and removed change this value
let time_delta = 1h;
TeamsData 
| where CreationTime > ago(time_ago)
| where Operation =~ ""MemberAdded""
| extend UPN = tostring(parse_json(Members)[0].UPN)
| where UPN contains (""#EXT#"")
| project TimeAdded=CreationTime, Operation, UPN, UserWhoAdded = UserId, TeamName, TeamGuid = tostring(Details.TeamGuid)
| join (
TeamsData 
| where CreationTime > ago(time_ago)
| where Operation =~ ""MemberRemoved""
| extend UPN = tostring(parse_json(Members)[0].UPN)
| where UPN contains (""#EXT#"")
| project TimeDeleted=CreationTime, Operation, UPN, UserWhoDeleted = UserId, TeamName, TeamGuid = tostring(Details.TeamGuid)) on UPN, TeamGuid
| where TimeDeleted < (TimeAdded + time_delta)
| project TimeAdded, TimeDeleted, UPN, UserWhoAdded, UserWhoDeleted, TeamName, TeamGuid
// Uncomment the following line to map query entities is you plan to use this as a detection query
//| extend timestamp = TimeAdded, AccountCustomEntity = UPN
",no
